Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:45,1.0,37.770384,-100.0115812,S73644857,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:43,5.0,35.245661,-106.670385,S73623906,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:42,1.0,32.261174,-106.723557,S73634090,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:30,1.0,31.9926084,-102.1185234,S73650526,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:22,1.0,32.2718803,-107.7351835,S73625149,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:02,1.0,35.892598,-106.0633265,S73624169,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 06:54,1.0,35.8889067,-106.3039041,S73629662,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 06:27,1.0,31.6094605,-110.9072828,S73623885,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 06:08,1.0,31.40806,-110.28619,S73638258,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 18:50,1.0,35.0997114,-106.4901729,S73611639,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 18:40,2.0,35.166683,-106.608448,S73613688,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 18:15,1.0,35.2365936,-106.6433215,S73612636,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 18:07,1.0,32.8329031,-108.2023307,S73611785,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 17:51,1.0,31.9069987,-104.8484516,S73614922,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 17:50,1.0,40.0615193,-105.1996708,S73614101,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 17:42,1.0,40.2284965,-105.2900537,S73611282,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 17:33,1.0,35.233991,-111.6723078,S73610408,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 14:41,1.0,37.0029682,-101.8990248,S73645429,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 14:25,1.0,37.166153,-107.293053,S73612788,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 11:58,1.0,45.5397283,-122.6179194,S73598747,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 11:40,1.0,43.583185,-116.319601,S73610888,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 10:34,1.0,39.7318119,-104.9635506,S73592991,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 10:33,1.0,32.9189081,-112.8944135,S73610802,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 10:15,1.0,31.3804217,-110.2280459,S73597034,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 09:55,2.0,30.5380904,-103.8373661,S73590649,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 09:33,2.0,33.322025,-108.875579,S73687789,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 08:30,1.0,43.5885907,-116.148853,S73602342,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 08:15,2.0,32.920078,-107.57049,S73588833,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 08:08,1.0,35.5650743,-106.102438,S73593325,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 07:52,1.0,35.6881106,-106.0145822,S73592094,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 07:31,1.0,33.1953785,-108.2047625,S73645246,1,2020,9,14,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 07:20,1.0,31.992399,-102.118572,S73613655,1,2020,9,14,Trochilidae
