Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 09:05,1.0,38.4273028,-120.91780190000001,S73788812,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 08:23,1.0,31.5177588,-110.38843909999999,S73785673,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 08:15,1.0,30.5962706,-103.9347249,S73808538,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 07:45,1.0,37.772750099999996,-111.61555770000001,S73811217,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 06:39,2.0,34.8020211,-106.7173827,S73780632,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 06:23,1.0,31.438428499999997,-110.10765259999998,S73780696,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19,1.0,32.284824,-106.76451440000001,S73783815,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 17:45,1.0,39.635246,-104.88372,S73763449,1,2020,9,18,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 17:27,1.0,35.1279291,-106.5902513,S73759085,1,2020,9,18,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 10:03,1.0,34.821938,-111.818123,S73743515,1,2020,9,18,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 09:35,1.0,32.1861206,-110.8162263,S73753353,1,2020,9,18,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 09:11,1.0,35.3160816,-111.5550497,S73742200,1,2020,9,18,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 08:00,1.0,38.455858500000005,-107.86321159999999,S73743049,1,2020,9,18,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 07:58,1.0,31.858608,-106.611631,S73736205,1,2020,9,18,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 07:00,1.0,34.8212285,-111.8185955,S73758371,1,2020,9,18,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 17:47,1.0,37.919348,-99.40875,S73719656,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 17:25,1.0,35.1770706,-106.6414225,S73722393,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 09:50,1.0,31.421952,-110.2966156,S73707180,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 08:40,1.0,34.9274153,-110.1438162,S73707490,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 08:28,2.0,33.322058,-108.87548600000001,S73783729,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 07:48,1.0,39.8723965,-75.3699875,S73703131,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 07:33,1.0,32.001288,-104.794715,S73788404,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 07:19,1.0,32.8668999,-107.30595590000001,S73786192,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 07:18,1.0,35.4760727,-106.0940893,S73699964,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17,1.0,30.366062300000003,-103.6742771,S73707905,1,2020,9,17,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 18:07,1.0,31.8209406,-106.5630008,S73687837,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 17:35,1.0,32.328408,-110.850251,S73688211,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 17:00,2.0,30.6153115,-103.99194720000001,S73684664,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 15:30,1.0,35.8955694,-105.2120683,S73765329,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 10:20,1.0,34.520846999999996,-103.1939531,S73670878,1,2020,9,16,Trochilidae,No
