speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
monpar,Monk Parakeet,Myiopsitta monachus,L7833433,"3207 Northland Dr, Austin US-TX (30.3357,-97.7546)",2018-08-17 18:58,2.0,30.335682,-97.754632,True,False,True,S47911196
monpar,Monk Parakeet,Myiopsitta monachus,L4601405,"Brentwood Park, Austin",2018-08-18 20:01,2.0,30.341159,-97.730786,True,False,False,S47933540
monpar,Monk Parakeet,Myiopsitta monachus,L4828182,New Place,2018-08-19 06:34,2.0,30.328169,-97.718319,True,False,True,S47941007
monpar,Monk Parakeet,Myiopsitta monachus,L2698117,"MetCenter Disc Golf Course, Austin",2018-08-20 10:48,2.0,30.2038198,-97.7057505,True,False,False,S47974776
monpar,Monk Parakeet,Myiopsitta monachus,L7848974,"Alamo Park and Recreation CTR, Austin US-TX (30.2825,-97.7198)",2018-08-21 18:15,3.0,30.28254,-97.719821,True,False,True,S47996951
monpar,Monk Parakeet,Myiopsitta monachus,L722854,"The Triangle Pond, Austin",2018-08-22 14:27,3.0,30.3128387,-97.7336454,True,False,False,S48009579
monpar,Monk Parakeet,Myiopsitta monachus,L2698117,"MetCenter Disc Golf Course, Austin",2018-08-23 17:39,2.0,30.2038198,-97.7057505,True,False,False,S48030233
monpar,Monk Parakeet,Myiopsitta monachus,L2188471,Austin--US-183 / Bolm Rd,2018-08-24 17:57,6.0,30.2533088,-97.6794877,True,False,True,S48049058
monpar,Monk Parakeet,Myiopsitta monachus,L4828182,New Place,2018-08-25 08:11,1.0,30.328169,-97.718319,True,False,True,S48059515
monpar,Monk Parakeet,Myiopsitta monachus,L2284419,"Congress Ave. (Ann W. Richards) Bridge (HOTE 041), Austin",2018-08-26 19:46,4.0,30.2616712,-97.7452004,True,False,False,S48510608
monpar,Monk Parakeet,Myiopsitta monachus,L7847405,Garden Street,2018-08-28 17:50,2.0,30.257142,-97.732512,True,False,True,S48160866
monpar,Monk Parakeet,Myiopsitta monachus,L512026,Mueller Lake Park,2018-08-29 18:56,4.0,30.2972402,-97.7063084,True,False,False,S48161672
